Region	Group	max_MAF	Pvalue	Pvalue_Burden	Pvalue_SKAT	BETA_Burden	SE_Burden	MAC	MAC_case	MAC_control	Number_rare	Number_ultra_rare
ESPN	missense	0.01	0.0583222248975026	0.0583222248975026	0.0583222248975026	0.104377277778511	0.0551307433344554	11	7	4	0	4
ESPN	missense	0.04	0.0583222248975026	0.0583222248975026	0.0583222248975026	0.104377277778511	0.0551307433344554	11	7	4	0	4
ESPN	Cauchy	NA	0.0583222248975026	0.0583222248975026	0.0583222248975026	NA	NA	NA	NA	NA	NA	NA
ECE1	missense	0.01	0.229263802339528	0.229263802339528	0.229263802339528	-0.0739149356215713	0.0614801234702429	6	0	6	0	6
ECE1	missense	0.04	0.229263802339528	0.229263802339528	0.229263802339528	-0.0739149356215713	0.0614801234702429	6	0	6	0	6
ECE1	Cauchy	NA	0.229263802339528	0.229263802339528	0.229263802339528	NA	NA	NA	NA	NA	NA	NA
GJB4	missense	0.01	0.447117114189705	0.447117114189705	0.447117114189705	0.0481886366117762	0.0633869177272627	14	5	9	0	7
GJB4	missense	0.04	0.518737302776545	0.518737302776545	0.518737302776545	0.058598646440243	0.090809357745868	23	7	16	0	8
GJB4	Cauchy	NA	0.482709082626722	0.482709082626722	0.482709082626722	NA	NA	NA	NA	NA	NA	NA
GJB3	missense	0.01	0.846056112189561	0.846056112189561	0.846056112189561	0.0124064447599652	0.0639003627771524	4	1	3	0	3
GJB3	missense	0.04	0.846056112189561	0.846056112189561	0.846056112189561	0.0124064447599652	0.0639003627771524	4	1	3	0	3
GJB3	Cauchy	NA	0.846056112189561	0.846056112189561	0.846056112189561	NA	NA	NA	NA	NA	NA	NA
COL9A2	missense	0.01	0.633278849457229	0.633278849457229	0.633278849457229	0.026958679794542	0.0565032957079835	6	2	4	0	2
COL9A2	missense	0.04	0.953344182017371	0.953344182017371	0.953344182017371	0.00328316082812254	0.0561149643165216	11	3	8	0	3
COL9A2	Cauchy	NA	0.913966574610488	0.913966574610488	0.913966574610488	NA	NA	NA	NA	NA	NA	NA
KCNQ4	missense	0.01	0.574677131696313	0.574677131696313	0.574677131696313	0.0341036547859557	0.0607716944403092	3	2	1	0	2
KCNQ4	missense	0.04	0.574677131696313	0.574677131696313	0.574677131696313	0.0341036547859557	0.0607716944403092	3	2	1	0	2
KCNQ4	Cauchy	NA	0.574677131696313	0.574677131696313	0.574677131696313	NA	NA	NA	NA	NA	NA	NA
HECTD3	missense	0.01	0.408683604737319	0.408683604737319	0.408683604737319	-0.0593577018839688	0.0718431489739724	3	0	3	0	3
HECTD3	missense	0.04	0.408683604737319	0.408683604737319	0.408683604737319	-0.0593577018839688	0.0718431489739724	3	0	3	0	3
HECTD3	Cauchy	NA	0.408683604737319	0.408683604737319	0.408683604737319	NA	NA	NA	NA	NA	NA	NA
BSND	missense	0.01	0.416601108306141	0.416601108306141	0.416601108306141	-0.0611019696468126	0.0752179696533916	4	0	4	0	3
BSND	missense	0.04	0.416601108306141	0.416601108306141	0.416601108306141	-0.0611019696468126	0.0752179696533916	4	0	4	0	3
BSND	Cauchy	NA	0.416601108306141	0.416601108306141	0.416601108306141	NA	NA	NA	NA	NA	NA	NA
ROR1	missense	0.01	0.926091242387603	0.926091242387603	0.926091242387603	0.00616371919188147	0.0664453361003075	5	1	4	0	4
ROR1	missense	0.04	0.926091242387603	0.926091242387603	0.926091242387603	0.00616371919188147	0.0664453361003075	5	1	4	0	4
ROR1	Cauchy	NA	0.926091242387603	0.926091242387603	0.926091242387603	NA	NA	NA	NA	NA	NA	NA
CDC14A	missense	0.01	0.337511483024275	0.337511483024275	0.337511483024275	-0.0649835465250282	0.0677551508661005	5	0	5	0	3
CDC14A	missense	0.04	0.337511483024275	0.337511483024275	0.337511483024275	-0.0649835465250282	0.0677551508661005	5	0	5	0	3
CDC14A	Cauchy	NA	0.337511483024275	0.337511483024275	0.337511483024275	NA	NA	NA	NA	NA	NA	NA
COL11A1	missense	0.01	0.434487726726002	0.434487726726002	0.434487726726002	-0.0479956845296187	0.0614120499462704	8	1	7	0	6
COL11A1	missense	0.04	0.928791973801804	0.928791973801804	0.928791973801804	0.00744561685878955	0.0833170825901131	21	6	15	0	8
COL11A1	Cauchy	NA	0.858140336408472	0.858140336408472	0.858140336408472	NA	NA	NA	NA	NA	NA	NA
GPSM2	missense	0.01	0.303490177302553	0.303490177302553	0.303490177302553	-0.0634217797874937	0.0616357213997479	10	1	9	0	7
GPSM2	missense	0.04	0.257959654859819	0.18931881476132	0.389432967319453	-0.0602333793971558	0.0458887106903036	21	2	19	1	7
GPSM2	Cauchy	NA	0.279379647797287	0.235708150435878	0.343386886665159	NA	NA	NA	NA	NA	NA	NA
KCNJ10	missense	0.01	0.319981269527426	0.319981269527426	0.319981269527426	0.0679316165505672	0.0683075557470398	2	2	0	0	1
KCNJ10	missense	0.04	0.621373278588189	0.621373278588189	0.621373278588189	-0.0302373440778256	0.0612209727401087	10	2	8	0	2
KCNJ10	Cauchy	NA	0.46296167456034	0.46296167456034	0.46296167456034	NA	NA	NA	NA	NA	NA	NA
USH2A	missense	0.01	0.783799566558271	0.783799566558271	0.783799566558271	0.131872571069654	0.480636058186494	54	17	37	0	44
USH2A	missense	0.04	0.64972387624702	0.64972387624702	0.64972387624702	0.943700304098793	2.07796761067264	76	24	52	0	49
USH2A	Cauchy	NA	0.728543274461407	0.728543274461407	0.728543274461407	NA	NA	NA	NA	NA	NA	NA
NLRP3	missense	0.01	0.340252454128942	0.340252454128942	0.340252454128942	0.0533240461740942	0.0559147700319077	9	4	5	0	5
NLRP3	missense	0.04	0.447556052703337	0.447556052703337	0.447556052703337	0.0476277800910861	0.0627097384066159	14	5	9	0	6
NLRP3	Cauchy	NA	0.390713117698678	0.390713117698678	0.390713117698678	NA	NA	NA	NA	NA	NA	NA
